TITLE;N0it5 1:20
DATA TYPE;FLUORESCENCE SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;26/05/13
TIME;14:39:08
SPECTROMETER/DATA SYSTEM;
LOCALE;1030
RESOLUTION;
DELTAX;1
XUNITS;NANOMETERS
YUNITS;INTENSITY
FIRSTX;  490,0000
LASTX;  620,0000
NPOINTS;     131
FIRSTY;     4,60241
MAXY;    78,44127
MINY;     4,60241
XYDATA
490,0000;4,60241
491,0000;5,08321
492,0000;5,74787
493,0000;6,6159
494,0000;7,62853
495,0000;8,89264
496,0000;10,3665
497,0000;12,003
498,0000;13,9419
499,0000;16,1449
500,0000;18,5896
501,0000;21,3294
502,0000;24,3167
503,0000;27,635
504,0000;31,2467
505,0000;35,0956
506,0000;39,104
507,0000;43,3071
508,0000;47,5588
509,0000;51,7717
510,0000;55,9872
511,0000;59,999
512,0000;63,7571
513,0000;67,1764
514,0000;70,2947
515,0000;72,9061
516,0000;75,0397
517,0000;76,6607
518,0000;77,8026
519,0000;78,4009
520,0000;78,4413
521,0000;77,9618
522,0000;77,009
523,0000;75,7134
524,0000;73,9478
525,0000;71,9042
526,0000;69,6467
527,0000;67,171
528,0000;64,6462
529,0000;62,0261
530,0000;59,4527
531,0000;56,8842
532,0000;54,4619
533,0000;52,1322
534,0000;50,0199
535,0000;47,9489
536,0000;46,0782
537,0000;44,3555
538,0000;42,7297
539,0000;41,2171
540,0000;39,7475
541,0000;37,7241
542,0000;36,482
543,0000;35,3551
544,0000;34,3843
545,0000;33,4983
546,0000;32,6034
547,0000;31,7146
548,0000;30,9004
549,0000;30,1768
550,0000;29,4438
551,0000;28,695
552,0000;28,0061
553,0000;27,3531
554,0000;26,7047
555,0000;26,1303
556,0000;25,5554
557,0000;25,0525
558,0000;24,5051
559,0000;24,0251
560,0000;23,6452
561,0000;23,2778
562,0000;22,9702
563,0000;22,7955
564,0000;22,6855
565,0000;22,6397
566,0000;22,6838
567,0000;22,7878
568,0000;22,9476
569,0000;23,1348
570,0000;23,4682
571,0000;23,7711
572,0000;24,1407
573,0000;24,5461
574,0000;25,0152
575,0000;25,4247
576,0000;25,8429
577,0000;26,2204
578,0000;26,6388
579,0000;26,9606
580,0000;27,1678
581,0000;27,3335
582,0000;27,4567
583,0000;27,4605
584,0000;27,4862
585,0000;27,3936
586,0000;27,1722
587,0000;26,9107
588,0000;26,6299
589,0000;26,224
590,0000;25,7699
591,0000;25,2773
592,0000;24,6896
593,0000;24,0895
594,0000;23,3901
595,0000;22,7327
596,0000;22,0631
597,0000;21,3744
598,0000;20,6261
599,0000;19,9032
600,0000;19,1583
601,0000;18,3983
602,0000;17,6839
603,0000;17,0104
604,0000;16,3031
605,0000;15,6266
606,0000;14,9777
607,0000;14,3777
608,0000;13,7827
609,0000;13,197
610,0000;12,6505
611,0000;12,0859
612,0000;11,5568
613,0000;11,0671
614,0000;10,5835
615,0000;10,1217
616,0000;9,69629
617,0000;9,29809
618,0000;8,87556
619,0000;8,47919
620,0000;8,09752

##### Extended Information
[Comments]
Sample name;N0it5 1:20
Comment
Username
Division
Organization;KU

[Detailed Information]
Creation date;13-05-2026 14:39

Data array type;Linear data array
Horizontal axis;Wavelength [nm]
Vertical axis;Int.
Start;490 nm
End;620 nm
Data interval;1 nm
Data points;131     

[Measurement Information]
Model name;FP-8350
Serial No.;D026162080
  Ex filter holder;None
  Em filter holder;Solution filter

Accessory;FMP-125
Accessory S/N;A002962093
  Plate type;96 wells
  Well;A - 2

Measurement date;13-05-2026 14:39

Sequence file;C:\_DATA\VJV\Assay sequence.fsqs
Parameter file;C:\_DATA\VJV\Viktor assay parameters.fpsp
Mode;Emission
Ex bandwidth;2.5 nm
Em bandwidth;2.5 nm
Response;0.5 sec
Sensitivity;Medium
Measurement range;490 - 620 nm
Data interval;1 nm
Ex wavelength;460.0 nm
Scan speed;2000 nm/min
No. of cycles;1
Auto gain;Off
Shutter control;Open only for measurement
Light source;Xe lamp
Filter;Stop scan for exchanging filter
Auto Zero control;On
Blank correction;Off

